index,gender,car,reality,child_num,income_total,income_type,edu_type,family_type,house_type,FLAG_MOBIL,work_phone,phone,email,occyp_type,family_size,credit,Decile
0,F,N,N,0,202500,Commercial associate,Higher education,Married,Municipal apartment,1,0,0,0,unemployed,2,1,9
1,F,N,Y,1,247500,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,1,Laborers,3,1,9
2,M,Y,Y,0,450000,Working,Higher education,Married,House / apartment,1,0,1,0,Managers,2,2,9
3,F,N,Y,0,202500,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,1,0,Sales staff,2,0,9
4,F,Y,Y,0,157500,State servant,Higher education,Married,House / apartment,1,0,0,0,Managers,2,2,8
5,F,N,Y,2,270000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,1,High skill tech staff,4,1,9
6,F,N,N,0,315000,Working,Secondary / secondary special,Separated,House / apartment,1,0,0,1,Core staff,1,2,9
7,M,N,Y,0,270000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,1,Drivers,2,0,9
8,M,Y,Y,1,180000,Commercial associate,Higher education,Married,House / apartment,1,0,0,1,unemployed,3,2,9
9,F,N,Y,0,103500,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Medicine staff,2,2,7
10,F,N,Y,0,193500,Working,Secondary / secondary special,Separated,House / apartment,1,1,1,1,Laborers,1,2,9
11,M,Y,Y,1,135000,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,Managers,3,2,8
12,F,Y,Y,1,157500,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Accountants,3,0,8
13,F,N,N,0,135000,Working,Higher education,Married,House / apartment,1,0,1,0,Sales staff,2,2,8
14,F,N,Y,0,157500,Pensioner,Secondary / secondary special,Single / not married,House / apartment,1,0,1,0,unemployed,1,2,8
15,M,Y,Y,2,157500,Working,Secondary / secondary special,Married,With parents,1,0,1,0,Drivers,4,0,8
16,M,N,Y,0,180000,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,Laborers,2,1,9
17,M,N,N,0,270000,Commercial associate,Secondary / secondary special,Civil marriage,With parents,1,0,0,1,Sales staff,2,2,9
18,F,N,Y,0,216000,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,unemployed,2,2,9
19,F,N,Y,0,180000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,unemployed,2,2,9
20,M,N,N,0,180000,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,unemployed,2,2,9
21,F,N,N,0,157500,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,1,0,unemployed,2,2,8
22,F,N,N,0,157500,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,0,Laborers,2,0,8
23,M,Y,N,0,225000,Working,Secondary / secondary special,Married,Municipal apartment,1,1,1,1,unemployed,2,2,9
24,F,N,N,0,202500,Pensioner,Secondary / secondary special,Single / not married,House / apartment,1,0,1,0,unemployed,1,2,9
25,F,N,Y,1,225000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Realty agents,3,2,9
26,M,Y,N,1,135000,Working,Higher education,Married,House / apartment,1,1,0,0,Laborers,3,2,8
27,M,Y,Y,0,405000,State servant,Secondary / secondary special,Married,House / apartment,1,0,0,0,unemployed,2,2,9
28,M,Y,N,0,112500,Commercial associate,Secondary / secondary special,Married,With parents,1,1,1,0,Drivers,2,2,7
29,F,N,Y,0,121500,Commercial associate,Secondary / secondary special,Married,Co-op apartment,1,0,1,0,Sales staff,2,0,8
30,M,Y,N,0,225000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Managers,2,2,9
31,M,Y,Y,0,135000,Commercial associate,Higher education,Married,House / apartment,1,1,0,1,Laborers,2,0,8
32,F,N,Y,0,135000,Working,Higher education,Married,House / apartment,1,0,0,0,Laborers,2,0,8
33,M,N,Y,0,202500,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,High skill tech staff,2,2,9
34,M,Y,Y,1,270000,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,Laborers,3,0,9
35,F,Y,N,0,225000,Working,Higher education,Civil marriage,House / apartment,1,0,0,0,Managers,2,2,9
36,F,Y,N,0,225000,Working,Higher education,Single / not married,House / apartment,1,1,1,0,Accountants,1,2,9
37,M,Y,Y,0,585000,Commercial associate,Secondary / secondary special,Married,With parents,1,0,0,0,Drivers,2,2,9
38,F,N,Y,0,202500,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Sales staff,2,2,9
39,M,Y,Y,2,112500,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,4,2,7
40,M,Y,Y,0,90900,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,2,1,7
41,F,N,Y,2,99000,Commercial associate,Higher education,Married,House / apartment,1,0,1,0,Accountants,4,2,7
42,M,N,N,1,270000,Working,Secondary / secondary special,Married,House / apartment,1,1,0,0,Managers,3,0,9
43,F,N,N,0,67500,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Sales staff,2,1,5
44,M,N,N,0,247500,Working,Higher education,Civil marriage,House / apartment,1,0,0,0,Drivers,2,2,9
45,M,Y,N,0,405000,Working,Higher education,Married,House / apartment,1,1,1,0,High skill tech staff,2,0,9
46,F,N,N,0,135000,Pensioner,Secondary / secondary special,Widow,House / apartment,1,0,1,0,unemployed,1,2,8
47,F,Y,Y,0,292500,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,Sales staff,2,2,9
48,F,N,Y,0,99000,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,unemployed,2,2,7
49,F,N,Y,0,585000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,1,0,unemployed,2,2,9
50,F,Y,N,1,90000,Working,Secondary / secondary special,Married,House / apartment,1,1,0,0,Sales staff,3,2,7
51,M,Y,Y,0,495000,Working,Incomplete higher,Married,With parents,1,0,0,1,Drivers,2,2,9
52,F,N,Y,0,54000,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,1,0,unemployed,2,2,4
53,F,Y,Y,2,306000,State servant,Higher education,Married,House / apartment,1,0,0,0,Core staff,4,2,9
54,F,N,N,1,99000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,unemployed,3,1,7
55,F,N,Y,0,180000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,2,2,9
56,F,Y,Y,0,130500,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,Laborers,2,2,8
57,F,N,Y,0,225000,Commercial associate,Higher education,Single / not married,House / apartment,1,0,0,0,Core staff,1,1,9
58,F,N,Y,0,144000,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,unemployed,2,2,8
59,F,N,Y,0,360000,Pensioner,Higher education,Married,House / apartment,1,0,1,0,unemployed,2,2,9
60,M,Y,Y,0,112500,Pensioner,Secondary / secondary special,Separated,House / apartment,1,0,0,0,unemployed,1,1,7
61,M,Y,N,1,270000,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,Managers,3,2,9
62,F,Y,Y,0,225000,Working,Higher education,Married,House / apartment,1,0,1,0,Core staff,2,1,9
63,M,Y,Y,0,315000,Working,Higher education,Married,House / apartment,1,0,0,0,Managers,2,2,9
64,M,Y,N,0,67500,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,1,0,0,0,Security staff,1,2,5
65,F,N,Y,0,40500,Working,Secondary / secondary special,Married,House / apartment,1,1,0,0,Cleaning staff,2,2,2
66,M,N,Y,1,144000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,3,1,8
67,F,N,Y,2,157500,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,High skill tech staff,4,1,8
68,F,N,N,0,180000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,2,1,9
69,F,N,Y,0,157500,Working,Higher education,Married,House / apartment,1,0,0,1,Medicine staff,2,2,8
70,M,N,Y,0,81000,Commercial associate,Higher education,Single / not married,House / apartment,1,0,1,0,Laborers,1,2,6
71,M,Y,N,2,202500,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,4,2,9
72,F,N,N,0,351000,Commercial associate,Higher education,Married,House / apartment,1,0,1,0,unemployed,2,2,9
73,F,N,Y,0,180000,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,1,0,unemployed,2,2,9
74,F,N,Y,1,67500,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Sales staff,3,2,5
75,F,Y,Y,0,315000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,1,Core staff,2,2,9
76,F,Y,N,0,315000,Commercial associate,Higher education,Married,House / apartment,1,1,1,0,unemployed,2,2,9
77,F,N,N,0,135000,Working,Higher education,Single / not married,House / apartment,1,0,0,0,Core staff,1,1,8
78,F,Y,Y,0,112500,Working,Secondary / secondary special,Married,House / apartment,1,1,0,0,Sales staff,2,1,7
79,F,Y,Y,1,225000,Working,Higher education,Separated,House / apartment,1,0,0,0,Core staff,2,0,9
80,F,N,Y,0,247500,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,0,Laborers,2,1,9
81,M,Y,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,1,Sales staff,2,0,8
82,F,Y,Y,0,216000,Working,Higher education,Civil marriage,House / apartment,1,0,0,1,Accountants,2,2,9
83,F,N,N,2,180000,Working,Higher education,Married,House / apartment,1,0,0,0,High skill tech staff,4,1,9
84,M,Y,Y,0,135000,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,1,0,unemployed,2,2,8
85,M,Y,N,0,184500,Working,Secondary / secondary special,Married,Municipal apartment,1,0,0,0,Laborers,2,1,9
86,M,Y,Y,1,112500,Working,Secondary / secondary special,Married,House / apartment,1,1,0,1,Drivers,3,2,7
87,F,N,Y,0,270000,Commercial associate,Secondary / secondary special,Widow,House / apartment,1,1,1,1,Core staff,1,2,9
88,F,Y,Y,0,360000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Managers,2,2,9
89,M,N,N,0,450000,Commercial associate,Incomplete higher,Married,House / apartment,1,1,1,0,Managers,2,2,9
90,F,N,Y,0,45000,State servant,Secondary / secondary special,Married,House / apartment,1,1,0,0,Cleaning staff,2,2,3
91,F,Y,Y,0,202500,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Private service staff,2,2,9
92,M,Y,Y,1,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,3,2,8
93,F,N,Y,0,202500,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,High skill tech staff,1,1,9
94,F,N,Y,0,180000,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,unemployed,2,2,9
95,M,N,Y,0,79650,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,1,0,unemployed,2,2,6
96,M,N,Y,0,450000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Security staff,2,2,9
97,M,Y,Y,0,157500,Working,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,0,Drivers,2,2,8
98,M,Y,Y,0,450000,Commercial associate,Higher education,Single / not married,House / apartment,1,0,0,1,Sales staff,1,2,9
